Reference, Quantity, Value,,
A1 ,1,Arduino_Nano_Every,,
C1 C2 C3 C4 C11 ,5,10nF,,
C10 ,1,1nF,,
C12 ,1,1uF,,
C13 ,1,100uF,,
C5 C8 ,2,100nF,,
C6 C7 ,2,22pF,,
C9 ,1,470nF,,
J1 ,1,SDA,,
J10 ,1,GND2/+5v,,
J2 ,1,SCL,,
J3 J4 ,2,+5v,,
J5 ,1,GND1/+12v,,
J6 ,1,Audio Out,,
J7 ,1,Antennas,,
J8 J9 ,2,GND2,,
JP1 ,1,Jumper,,
L1 ,1,56nH,,
Q1 Q2 ,2,2N7000,,
Q3 ,1,2N2222,,
R1 R2 R3 R4 R5 R6 R7 R8 ,8,10k,,
R10 ,1,2k,,
R11 R13 ,2,100k,,
R12 ,1,220k,,
R14 ,1,200,,
R15 ,1,10,,
R16 ,1,470,,
R9 ,1,1k,,
RV1 ,1,Volume_POT,,
SW1 ,1,Cherry MX,,
SW2 ,1,SW_Mode_Selection,,
SW3 SW4,1,ELMA E37,,
U1 ,1,Si4844,,
U2 ,1,24LC08,,
U3 ,1,4N35,,
Y1 ,1,32kHz,,~
